Date : 2020-12-10 17:43:29
Directory : c:\Repos\rayex
Total : 4640 files,  856127 codes, 59708 comments, 59332 blanks, all 975167 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| source\external\ImGui                                                                                                                                      |          6 |     26,720 |      4,904 |      3,630 |     35,254 |
| source\pch                                                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                   | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Repos\rayex\README.md                                                                                                                                   | Markdown     |         54 |          0 |         14 |         68 |
| c:\Repos\rayex\assets\shaders\Instance.glsl                                                                                                                | GLSL         |         26 |          0 |          7 |         33 |
| c:\Repos\rayex\assets\shaders\Lights.glsl                                                                                                                  | GLSL         |         18 |          0 |          6 |         24 |
| c:\Repos\rayex\assets\shaders\PostProcessing.frag                                                                                                          | GLSL         |         14 |          1 |          5 |         20 |
| c:\Repos\rayex\assets\shaders\PostProcessing.vert                                                                                                          | GLSL         |         11 |          0 |          3 |         14 |
| c:\Repos\rayex\assets\shaders\Random.glsl                                                                                                                  | GLSL         |         42 |          8 |         10 |         60 |
| c:\Repos\rayex\assets\shaders\Ray.glsl                                                                                                                     | GLSL         |          9 |          0 |          1 |         10 |
| c:\Repos\rayex\docs\generateDocs.sh                                                                                                                        | Shell Script |         12 |          3 |          6 |         21 |
| c:\Repos\rayex\docs\html\__features_8hpp.html                                                                                                              | HTML         |        106 |          5 |          4 |        115 |
| c:\Repos\rayex\docs\html\__features_8hpp_source.html                                                                                                       | HTML         |        499 |          5 |          3 |        507 |
| c:\Repos\rayex\docs\html\__fixes_8hpp.html                                                                                                                 | HTML         |        108 |          5 |          3 |        116 |
| c:\Repos\rayex\docs\html\__fixes_8hpp_source.html                                                                                                          | HTML         |        127 |          5 |          3 |        135 |
| c:\Repos\rayex\docs\html\__noise_8hpp.html                                                                                                                 | HTML         |        159 |          5 |          3 |        167 |
| c:\Repos\rayex\docs\html\__noise_8hpp.js                                                                                                                   | JavaScript   |         15 |          0 |          0 |         15 |
| c:\Repos\rayex\docs\html\__noise_8hpp_source.html                                                                                                          | HTML         |        196 |          5 |          3 |        204 |
| c:\Repos\rayex\docs\html\__swizzle_8hpp.html                                                                                                               | HTML         |        909 |          5 |         29 |        943 |
| c:\Repos\rayex\docs\html\__swizzle_8hpp.js                                                                                                                 | JavaScript   |         35 |          0 |          0 |         35 |
| c:\Repos\rayex\docs\html\__swizzle_8hpp_source.html                                                                                                        | HTML         |        943 |          5 |          3 |        951 |
| c:\Repos\rayex\docs\html\__swizzle__func_8hpp.html                                                                                                         | HTML         |      1,820 |          5 |         41 |      1,866 |
| c:\Repos\rayex\docs\html\__swizzle__func_8hpp.js                                                                                                           | JavaScript   |         36 |          0 |          0 |         36 |
| c:\Repos\rayex\docs\html\__swizzle__func_8hpp_source.html                                                                                                  | HTML         |        787 |          5 |          3 |        795 |
| c:\Repos\rayex\docs\html\__vectorize_8hpp.html                                                                                                             | HTML         |        161 |          5 |          4 |        170 |
| c:\Repos\rayex\docs\html\__vectorize_8hpp_source.html                                                                                                      | HTML         |        307 |          5 |          3 |        315 |
| c:\Repos\rayex\docs\html\_acceleration_structure_8hpp.html                                                                                                 | HTML         |        132 |          5 |          3 |        140 |
| c:\Repos\rayex\docs\html\_acceleration_structure_8hpp_source.html                                                                                          | HTML         |        175 |          5 |          3 |        183 |
| c:\Repos\rayex\docs\html\_api_8cpp.html                                                                                                                    | HTML         |        130 |          5 |          3 |        138 |
| c:\Repos\rayex\docs\html\_api_8cpp.js                                                                                                                      | JavaScript   |          7 |          0 |          0 |          7 |
| c:\Repos\rayex\docs\html\_api_8hpp.html                                                                                                                    | HTML         |        139 |          5 |          3 |        147 |
| c:\Repos\rayex\docs\html\_api_8hpp_source.html                                                                                                             | HTML         |        230 |          5 |          3 |        238 |
| c:\Repos\rayex\docs\html\_base_8hpp.html                                                                                                                   | HTML         |        152 |          5 |          3 |        160 |
| c:\Repos\rayex\docs\html\_base_8hpp.js                                                                                                                     | JavaScript   |          8 |          0 |          0 |          8 |
| c:\Repos\rayex\docs\html\_base_8hpp_source.html                                                                                                            | HTML         |        223 |          5 |          3 |        231 |
| c:\Repos\rayex\docs\html\_bindings_8hpp.html                                                                                                               | HTML         |        126 |          5 |          3 |        134 |
| c:\Repos\rayex\docs\html\_bindings_8hpp_source.html                                                                                                        | HTML         |        179 |          5 |          3 |        187 |
| c:\Repos\rayex\docs\html\_buffer_8cpp.html                                                                                                                 | HTML         |        116 |          5 |          3 |        124 |
| c:\Repos\rayex\docs\html\_buffer_8hpp.html                                                                                                                 | HTML         |        123 |          5 |          3 |        131 |
| c:\Repos\rayex\docs\html\_buffer_8hpp.js                                                                                                                   | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_buffer_8hpp_source.html                                                                                                          | HTML         |        227 |          5 |          3 |        235 |
| c:\Repos\rayex\docs\html\_c_make_lists_8txt.html                                                                                                           | HTML         |        130 |          5 |          5 |        140 |
| c:\Repos\rayex\docs\html\_camera_8hpp.html                                                                                                                 | HTML         |        122 |          5 |          3 |        130 |
| c:\Repos\rayex\docs\html\_camera_8hpp_source.html                                                                                                          | HTML         |        208 |          5 |          3 |        216 |
| c:\Repos\rayex\docs\html\_camera_base_8cpp.html                                                                                                            | HTML         |        113 |          5 |          3 |        121 |
| c:\Repos\rayex\docs\html\_camera_base_8hpp.html                                                                                                            | HTML         |        122 |          5 |          3 |        130 |
| c:\Repos\rayex\docs\html\_camera_base_8hpp_source.html                                                                                                     | HTML         |        209 |          5 |          3 |        217 |
| c:\Repos\rayex\docs\html\_command_buffer_8cpp.html                                                                                                         | HTML         |        114 |          5 |          3 |        122 |
| c:\Repos\rayex\docs\html\_command_buffer_8hpp.html                                                                                                         | HTML         |        122 |          5 |          3 |        130 |
| c:\Repos\rayex\docs\html\_command_buffer_8hpp_source.html                                                                                                  | HTML         |        154 |          5 |          3 |        162 |
| c:\Repos\rayex\docs\html\_components_8cpp.html                                                                                                             | HTML         |        171 |          5 |          3 |        179 |
| c:\Repos\rayex\docs\html\_components_8cpp.js                                                                                                               | JavaScript   |         21 |          0 |          0 |         21 |
| c:\Repos\rayex\docs\html\_components_8hpp.html                                                                                                             | HTML         |        175 |          5 |          3 |        183 |
| c:\Repos\rayex\docs\html\_components_8hpp.js                                                                                                               | JavaScript   |         22 |          0 |          0 |         22 |
| c:\Repos\rayex\docs\html\_components_8hpp_source.html                                                                                                      | HTML         |        160 |          5 |          3 |        168 |
| c:\Repos\rayex\docs\html\_core_8hpp.html                                                                                                                   | HTML         |        402 |          5 |         35 |        442 |
| c:\Repos\rayex\docs\html\_core_8hpp.js                                                                                                                     | JavaScript   |         19 |          0 |          0 |         19 |
| c:\Repos\rayex\docs\html\_core_8hpp_source.html                                                                                                            | HTML         |        160 |          5 |          3 |        168 |
| c:\Repos\rayex\docs\html\_cubemap_8hpp.html                                                                                                                | HTML         |        121 |          5 |          3 |        129 |
| c:\Repos\rayex\docs\html\_cubemap_8hpp_source.html                                                                                                         | HTML         |        130 |          5 |          3 |        138 |
| c:\Repos\rayex\docs\html\_debug_messenger_8cpp.html                                                                                                        | HTML         |        121 |          5 |          3 |        129 |
| c:\Repos\rayex\docs\html\_debug_messenger_8cpp.js                                                                                                          | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_debug_messenger_8hpp.html                                                                                                        | HTML         |        122 |          5 |          3 |        130 |
| c:\Repos\rayex\docs\html\_debug_messenger_8hpp.js                                                                                                          | JavaScript   |          5 |          0 |          0 |          5 |
| c:\Repos\rayex\docs\html\_debug_messenger_8hpp_source.html                                                                                                 | HTML         |        145 |          5 |          3 |        153 |
| c:\Repos\rayex\docs\html\_descriptor_set_8cpp.html                                                                                                         | HTML         |        114 |          5 |          3 |        122 |
| c:\Repos\rayex\docs\html\_descriptor_set_8hpp.html                                                                                                         | HTML         |        127 |          5 |          3 |        135 |
| c:\Repos\rayex\docs\html\_descriptor_set_8hpp_source.html                                                                                                  | HTML         |        172 |          5 |          3 |        180 |
| c:\Repos\rayex\docs\html\_descriptor_set_layout_8cpp.html                                                                                                  | HTML         |        114 |          5 |          3 |        122 |
| c:\Repos\rayex\docs\html\_descriptor_set_layout_8hpp.html                                                                                                  | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_descriptor_set_layout_8hpp_source.html                                                                                           | HTML         |        156 |          5 |          3 |        164 |
| c:\Repos\rayex\docs\html\_destructors_8cpp.html                                                                                                            | HTML         |        147 |          5 |          3 |        155 |
| c:\Repos\rayex\docs\html\_destructors_8cpp.js                                                                                                              | JavaScript   |         12 |          0 |          0 |         12 |
| c:\Repos\rayex\docs\html\_destructors_8hpp.html                                                                                                            | HTML         |        150 |          5 |          3 |        158 |
| c:\Repos\rayex\docs\html\_destructors_8hpp.js                                                                                                              | JavaScript   |         12 |          0 |          0 |         12 |
| c:\Repos\rayex\docs\html\_destructors_8hpp_source.html                                                                                                     | HTML         |        146 |          5 |          3 |        154 |
| c:\Repos\rayex\docs\html\_device_8cpp.html                                                                                                                 | HTML         |        114 |          5 |          3 |        122 |
| c:\Repos\rayex\docs\html\_device_8hpp.html                                                                                                                 | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_device_8hpp_source.html                                                                                                          | HTML         |        134 |          5 |          3 |        142 |
| c:\Repos\rayex\docs\html\_geometry_8hpp.html                                                                                                               | HTML         |        141 |          5 |          3 |        149 |
| c:\Repos\rayex\docs\html\_geometry_8hpp.js                                                                                                                 | JavaScript   |          5 |          0 |          0 |          5 |
| c:\Repos\rayex\docs\html\_geometry_8hpp_source.html                                                                                                        | HTML         |        186 |          5 |          3 |        194 |
| c:\Repos\rayex\docs\html\_geometry_node_8hpp.html                                                                                                          | HTML         |        128 |          5 |          3 |        136 |
| c:\Repos\rayex\docs\html\_geometry_node_8hpp_source.html                                                                                                   | HTML         |        150 |          5 |          3 |        158 |
| c:\Repos\rayex\docs\html\_geometry_node_base_8hpp.html                                                                                                     | HTML         |        126 |          5 |          3 |        134 |
| c:\Repos\rayex\docs\html\_geometry_node_base_8hpp_source.html                                                                                              | HTML         |        148 |          5 |          3 |        156 |
| c:\Repos\rayex\docs\html\_gui_8hpp.html                                                                                                                    | HTML         |        127 |          5 |          3 |        135 |
| c:\Repos\rayex\docs\html\_gui_8hpp_source.html                                                                                                             | HTML         |        158 |          5 |          3 |        166 |
| c:\Repos\rayex\docs\html\_gui_base_8cpp.html                                                                                                               | HTML         |        116 |          5 |          3 |        124 |
| c:\Repos\rayex\docs\html\_gui_base_8hpp.html                                                                                                               | HTML         |        127 |          5 |          3 |        135 |
| c:\Repos\rayex\docs\html\_gui_base_8hpp_source.html                                                                                                        | HTML         |        189 |          5 |          3 |        197 |
| c:\Repos\rayex\docs\html\_helpers_8cpp.html                                                                                                                | HTML         |        167 |          5 |          3 |        175 |
| c:\Repos\rayex\docs\html\_helpers_8cpp.js                                                                                                                  | JavaScript   |         19 |          0 |          0 |         19 |
| c:\Repos\rayex\docs\html\_helpers_8hpp.html                                                                                                                | HTML         |        180 |          5 |          3 |        188 |
| c:\Repos\rayex\docs\html\_helpers_8hpp.js                                                                                                                  | JavaScript   |         22 |          0 |          0 |         22 |
| c:\Repos\rayex\docs\html\_helpers_8hpp_source.html                                                                                                         | HTML         |        182 |          5 |          3 |        190 |
| c:\Repos\rayex\docs\html\_image_8cpp.html                                                                                                                  | HTML         |        119 |          5 |          3 |        127 |
| c:\Repos\rayex\docs\html\_image_8hpp.html                                                                                                                  | HTML         |        122 |          5 |          3 |        130 |
| c:\Repos\rayex\docs\html\_image_8hpp_source.html                                                                                                           | HTML         |        151 |          5 |          3 |        159 |
| c:\Repos\rayex\docs\html\_index_buffer_8hpp.html                                                                                                           | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_index_buffer_8hpp_source.html                                                                                                    | HTML         |        157 |          5 |          3 |        165 |
| c:\Repos\rayex\docs\html\_initializers_8cpp.html                                                                                                           | HTML         |        193 |          5 |          3 |        201 |
| c:\Repos\rayex\docs\html\_initializers_8cpp.js                                                                                                             | JavaScript   |         27 |          0 |          0 |         27 |
| c:\Repos\rayex\docs\html\_initializers_8hpp.html                                                                                                           | HTML         |        206 |          5 |          3 |        214 |
| c:\Repos\rayex\docs\html\_initializers_8hpp.js                                                                                                             | JavaScript   |         31 |          0 |          0 |         31 |
| c:\Repos\rayex\docs\html\_initializers_8hpp_source.html                                                                                                    | HTML         |        198 |          5 |          3 |        206 |
| c:\Repos\rayex\docs\html\_instance_8cpp.html                                                                                                               | HTML         |        147 |          5 |          7 |        159 |
| c:\Repos\rayex\docs\html\_instance_8cpp.js                                                                                                                 | JavaScript   |          5 |          0 |          0 |          5 |
| c:\Repos\rayex\docs\html\_instance_8hpp.html                                                                                                               | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_instance_8hpp_source.html                                                                                                        | HTML         |        138 |          5 |          3 |        146 |
| c:\Repos\rayex\docs\html\_light_node_8hpp.html                                                                                                             | HTML         |        143 |          5 |          3 |        151 |
| c:\Repos\rayex\docs\html\_light_node_8hpp.js                                                                                                               | JavaScript   |          6 |          0 |          0 |          6 |
| c:\Repos\rayex\docs\html\_light_node_8hpp_source.html                                                                                                      | HTML         |        214 |          5 |          3 |        222 |
| c:\Repos\rayex\docs\html\_light_node_base_8cpp.html                                                                                                        | HTML         |        120 |          5 |          3 |        128 |
| c:\Repos\rayex\docs\html\_light_node_base_8cpp.js                                                                                                          | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_light_node_base_8hpp.html                                                                                                        | HTML         |        141 |          5 |          3 |        149 |
| c:\Repos\rayex\docs\html\_light_node_base_8hpp.js                                                                                                          | JavaScript   |          6 |          0 |          0 |          6 |
| c:\Repos\rayex\docs\html\_light_node_base_8hpp_source.html                                                                                                 | HTML         |        212 |          5 |          3 |        220 |
| c:\Repos\rayex\docs\html\_lights_8hpp.html                                                                                                                 | HTML         |        140 |          5 |          3 |        148 |
| c:\Repos\rayex\docs\html\_lights_8hpp.js                                                                                                                   | JavaScript   |          5 |          0 |          0 |          5 |
| c:\Repos\rayex\docs\html\_lights_8hpp_source.html                                                                                                          | HTML         |        154 |          5 |          3 |        162 |
| c:\Repos\rayex\docs\html\_material_8hpp.html                                                                                                               | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_material_8hpp_source.html                                                                                                        | HTML         |        185 |          5 |          3 |        193 |
| c:\Repos\rayex\docs\html\_model_8cpp.html                                                                                                                  | HTML         |        133 |          5 |          5 |        143 |
| c:\Repos\rayex\docs\html\_model_8cpp.js                                                                                                                    | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_model_8hpp.html                                                                                                                  | HTML         |        130 |          5 |          3 |        138 |
| c:\Repos\rayex\docs\html\_model_8hpp_source.html                                                                                                           | HTML         |        183 |          5 |          3 |        191 |
| c:\Repos\rayex\docs\html\_node_8hpp.html                                                                                                                   | HTML         |        127 |          5 |          3 |        135 |
| c:\Repos\rayex\docs\html\_node_8hpp_source.html                                                                                                            | HTML         |        153 |          5 |          3 |        161 |
| c:\Repos\rayex\docs\html\_node_base_8hpp.html                                                                                                              | HTML         |        125 |          5 |          3 |        133 |
| c:\Repos\rayex\docs\html\_node_base_8hpp.js                                                                                                                | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_node_base_8hpp_source.html                                                                                                       | HTML         |        151 |          5 |          3 |        159 |
| c:\Repos\rayex\docs\html\_path_tracer_8hpp.html                                                                                                            | HTML         |        130 |          5 |          3 |        138 |
| c:\Repos\rayex\docs\html\_path_tracer_8hpp_source.html                                                                                                     | HTML         |        264 |          5 |          3 |        272 |
| c:\Repos\rayex\docs\html\_physical_device_8cpp.html                                                                                                        | HTML         |        122 |          5 |          3 |        130 |
| c:\Repos\rayex\docs\html\_physical_device_8cpp.js                                                                                                          | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_physical_device_8hpp.html                                                                                                        | HTML         |        131 |          5 |          3 |        139 |
| c:\Repos\rayex\docs\html\_physical_device_8hpp.js                                                                                                          | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\_physical_device_8hpp_source.html                                                                                                 | HTML         |        135 |          5 |          3 |        143 |
| c:\Repos\rayex\docs\html\_pipeline_8cpp.html                                                                                                               | HTML         |        119 |          5 |          3 |        127 |
| c:\Repos\rayex\docs\html\_pipeline_8hpp.html                                                                                                               | HTML         |        125 |          5 |          3 |        133 |
| c:\Repos\rayex\docs\html\_pipeline_8hpp.js                                                                                                                 | JavaScript   |          8 |          0 |          0 |          8 |
| c:\Repos\rayex\docs\html\_pipeline_8hpp_source.html                                                                                                        | HTML         |        138 |          5 |          3 |        146 |
| c:\Repos\rayex\docs\html\_post_processing_renderer_8hpp.html                                                                                               | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_post_processing_renderer_8hpp_source.html                                                                                        | HTML         |        169 |          5 |          3 |        177 |
| c:\Repos\rayex\docs\html\_queues_8cpp.html                                                                                                                 | HTML         |        114 |          5 |          3 |        122 |
| c:\Repos\rayex\docs\html\_queues_8hpp.html                                                                                                                 | HTML         |        124 |          5 |          3 |        132 |
| c:\Repos\rayex\docs\html\_queues_8hpp_source.html                                                                                                          | HTML         |        137 |          5 |          3 |        145 |
| c:\Repos\rayex\docs\html\_r_e_a_d_m_e_8md.html                                                                                                             | HTML         |        103 |          5 |          3 |        111 |
| c:\Repos\rayex\docs\html\_ray_exec_8hpp.html                                                                                                               | HTML         |        124 |          5 |          3 |        132 |
